净值日期,单位净值,累计净值,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-02-18,0.9469,0.9469,2022-02-18,0.9469,0.9469,,,1,-2.79,开放申购,开放赎回,,,,
2022-02-21,0.9257,0.9257,2022-02-21,0.9257,0.9257,,,1,-2.24,开放申购,开放赎回,,,,
2022-02-22,0.9129,0.9129,2022-02-22,0.9129,0.9129,,,1,-1.38,开放申购,开放赎回,,,,
2022-02-23,0.9176,0.9176,2022-02-23,0.9176,0.9176,,,1,0.51,开放申购,开放赎回,,,,
2022-02-24,0.8893,0.8893,2022-02-24,0.8893,0.8893,,,1,-3.08,开放申购,开放赎回,,,,
2022-02-25,0.8938,0.8938,2022-02-25,0.8938,0.8938,,,1,0.51,开放申购,开放赎回,,,,
2022-02-28,0.8905,0.8905,2022-02-28,0.8905,0.8905,,,1,-0.37,开放申购,开放赎回,,,,
2022-03-01,0.8968,0.8968,2022-03-01,0.8968,0.8968,,,1,0.71,开放申购,开放赎回,,,,
2022-03-02,0.8817,0.8817,2022-03-02,0.8817,0.8817,,,1,-1.68,开放申购,开放赎回,,,,
2022-03-03,0.8643,0.8643,2022-03-03,0.8643,0.8643,,,1,-1.97,开放申购,开放赎回,,,,
2022-03-04,0.8385,0.8385,2022-03-04,0.8385,0.8385,,,1,-2.99,开放申购,开放赎回,,,,
2022-03-07,0.8065,0.8065,2022-03-07,0.8065,0.8065,,,1,-3.82,开放申购,开放赎回,,,,
2022-03-08,0.7854,0.7854,2022-03-08,0.7854,0.7854,,,1,-2.62,开放申购,开放赎回,,,,
2022-03-09,0.7828,0.7828,2022-03-09,0.7828,0.7828,,,1,-0.33,开放申购,开放赎回,,,,
2022-03-10,0.7818,0.7818,2022-03-10,0.7818,0.7818,,,1,-0.13,开放申购,开放赎回,,,,
2022-03-11,0.7591,0.7591,2022-03-11,0.7591,0.7591,,,1,-2.90,开放申购,开放赎回,,,,
2022-03-14,0.6858,0.6858,2022-03-14,0.6858,0.6858,,,1,-9.66,开放申购,开放赎回,,,,
2022-03-15,0.6373,0.6373,2022-03-15,0.6373,0.6373,,,1,-7.07,开放申购,开放赎回,,,,
2022-03-16,0.759,0.7590,2022-03-16,0.7590,0.7590,,,1,19.10,开放申购,开放赎回,,,,
2022-03-17,0.8039,0.8039,2022-03-17,0.8039,0.8039,,,1,5.92,开放申购,开放赎回,,,,
2022-03-18,0.7958,0.7958,2022-03-18,0.7958,0.7958,,,1,-1.01,开放申购,开放赎回,,,,
2022-03-21,0.7822,0.7822,2022-03-21,0.7822,0.7822,,,1,-1.71,开放申购,开放赎回,,,,
2022-03-22,0.8145,0.8145,2022-03-22,0.8145,0.8145,,,1,4.13,开放申购,开放赎回,,,,
2022-03-23,0.8328,0.8328,2022-03-23,0.8328,0.8328,,,1,2.25,开放申购,开放赎回,,,,
2022-03-24,0.8129,0.8129,2022-03-24,0.8129,0.8129,,,1,-2.39,开放申购,开放赎回,,,,
2022-03-25,0.7766,0.7766,2022-03-25,0.7766,0.7766,,,1,-4.47,开放申购,开放赎回,,,,
2022-03-28,0.796,0.7960,2022-03-28,0.7960,0.7960,,,1,2.50,开放申购,开放赎回,,,,
2022-03-29,0.8197,0.8197,2022-03-29,0.8197,0.8197,,,1,2.98,开放申购,开放赎回,,,,
2022-03-30,0.8206,0.8206,2022-03-30,0.8206,0.8206,,,1,0.11,开放申购,开放赎回,,,,
2022-03-31,0.8069,0.8069,2022-03-31,0.8069,0.8069,,,1,-1.67,暂停申购,暂停赎回,,,,
2022-04-01,0.8025,0.8025,2022-04-01,0.8025,0.8025,,,1,-0.55,暂停申购,暂停赎回,,,,
2022-04-06,0.8244,0.8244,2022-04-06,0.8244,0.8244,,,1,2.73,开放申购,开放赎回,,,,
2022-04-07,0.8005,0.8005,2022-04-07,0.8005,0.8005,,,1,-2.90,开放申购,开放赎回,,,,
2022-04-08,0.7905,0.7905,2022-04-08,0.7905,0.7905,,,1,-1.25,开放申购,开放赎回,,,,
2022-04-11,0.7516,0.7516,2022-04-11,0.7516,0.7516,,,1,-4.92,开放申购,开放赎回,,,,
2022-04-12,0.7622,0.7622,2022-04-12,0.7622,0.7622,,,1,1.41,开放申购,开放赎回,,,,
2022-04-13,0.768,0.7680,2022-04-13,0.7680,0.7680,,,1,0.76,开放申购,开放赎回,,,,
2022-04-14,0.7758,0.7758,2022-04-14,0.7758,0.7758,,,1,1.02,开放申购,开放赎回,,,,
2022-04-15,0.7797,0.7797,2022-04-15,0.7797,0.7797,,,1,0.50,暂停申购,暂停赎回,,,,
2022-04-18,0.778,0.7780,2022-04-18,0.7780,0.7780,,,1,-0.22,暂停申购,暂停赎回,,,,
2022-01-11,1.0,1.0000,2022-01-11,1.0000,1.0000,,,1,,封闭期,封闭期,,,,
2022-01-14,1.0,1.0000,2022-01-14,1.0000,1.0000,,,1,,封闭期,封闭期,,,,
2022-01-21,1.0165,1.0165,2022-01-21,1.0165,1.0165,,,1,,封闭期,封闭期,,,,
2022-01-28,0.9364,0.9364,2022-01-28,0.9364,0.9364,,,1,,封闭期,封闭期,,,,
2022-02-07,0.9653,0.9653,2022-02-07,0.9653,0.9653,,,1,3.09,开放申购,开放赎回,,,,
2022-02-08,0.9547,0.9547,2022-02-08,0.9547,0.9547,,,1,-1.10,开放申购,开放赎回,,,,
2022-02-09,0.9783,0.9783,2022-02-09,0.9783,0.9783,,,1,2.47,开放申购,开放赎回,,,,
2022-02-10,0.9808,0.9808,2022-02-10,0.9808,0.9808,,,1,0.26,开放申购,开放赎回,,,,
2022-02-11,0.9719,0.9719,2022-02-11,0.9719,0.9719,,,1,-0.91,开放申购,开放赎回,,,,
2022-02-14,0.9591,0.9591,2022-02-14,0.9591,0.9591,,,1,-1.32,开放申购,开放赎回,,,,
2022-02-15,0.9557,0.9557,2022-02-15,0.9557,0.9557,,,1,-0.35,开放申购,开放赎回,,,,
2022-02-16,0.9676,0.9676,2022-02-16,0.9676,0.9676,,,1,1.25,开放申购,开放赎回,,,,
2022-02-17,0.9741,0.9741,2022-02-17,0.9741,0.9741,,,1,0.67,开放申购,开放赎回,,,,
2022-04-19,0.7476,0.7476,2022-04-19,0.7476,0.7476,,,1,-3.91,开放申购,开放赎回,,,,
2022-04-20,0.7468,0.7468,2022-04-20,0.7468,0.7468,,,1,-0.11,开放申购,开放赎回,,,,
2022-04-21,0.7182,0.7182,2022-04-21,0.7182,0.7182,,,1,-3.83,开放申购,开放赎回,,,,
2022-04-22,0.7259,0.7259,2022-04-22,0.7259,0.7259,,,1,1.07,开放申购,开放赎回,,,,
2022-04-25,0.6956,0.6956,2022-04-25,0.6956,0.6956,,,1,-4.17,开放申购,开放赎回,,,,
2022-04-26,0.7167,0.7167,2022-04-26,0.7167,0.7167,,,1,3.03,开放申购,开放赎回,,,,
2022-04-27,0.7286,0.7286,2022-04-27,0.7286,0.7286,,,1,1.66,开放申购,开放赎回,,,,
2022-04-28,0.7399,0.7399,2022-04-28,0.7399,0.7399,,,1,1.55,暂停申购,暂停赎回,,,,
2022-04-29,0.8102,0.8102,2022-04-29,0.8102,0.8102,,,1,9.50,暂停申购,暂停赎回,,,,
2022-05-05,0.7709,0.7709,2022-05-05,0.7709,0.7709,,,1,-4.85,开放申购,开放赎回,,,,
2022-05-06,0.7439,0.7439,2022-05-06,0.7439,0.7439,,,1,-3.50,开放申购,开放赎回,,,,
2022-05-09,0.75,0.7500,2022-05-09,0.7500,0.7500,,,1,0.82,暂停申购,暂停赎回,,,,
2022-05-10,0.7317,0.7317,2022-05-10,0.7317,0.7317,,,1,-2.44,开放申购,开放赎回,,,,
2022-05-11,0.7571,0.7571,2022-05-11,0.7571,0.7571,,,1,3.47,开放申购,开放赎回,,,,
2022-05-12,0.7389,0.7389,2022-05-12,0.7389,0.7389,,,1,-2.40,开放申购,开放赎回,,,,
2022-05-13,0.7806,0.7806,2022-05-13,0.7806,0.7806,,,1,5.64,开放申购,开放赎回,,,,
2022-05-16,0.7807,0.7807,2022-05-16,0.7807,0.7807,,,1,0.01,开放申购,开放赎回,,,,
2022-05-17,0.8168,0.8168,2022-05-17,0.8168,0.8168,,,1,4.62,开放申购,开放赎回,,,,
2022-05-18,0.809,0.8090,2022-05-18,0.8090,0.8090,,,1,-0.95,开放申购,开放赎回,,,,
2022-05-19,0.7831,0.7831,2022-05-19,0.7831,0.7831,,,1,-3.20,开放申购,开放赎回,,,,
